k,accuracy,macro_f1,n_valid,f1_primary,f1_spam,f1_updates,f1_important,f1_promotions,f1_social
0,0.5213333333333333,0.5135662663254839,1500,0.386,0.434,0.407,0.55,0.497,0.807
2,0.5473333333333333,0.5281395873947273,1500,0.373,0.507,0.376,0.569,0.546,0.799
4,0.5466666666666666,0.5307646349263081,1500,0.4,0.491,0.371,0.589,0.533,0.801
8,0.538,0.5199726787310306,1500,0.368,0.472,0.379,0.553,0.531,0.817
10,0.5386666666666666,0.5258961191004284,1500,0.391,0.455,0.395,0.577,0.516,0.822
12,0.538,0.5221684506924645,1500,0.384,0.456,0.397,0.566,0.526,0.804
16,0.5573333333333333,0.5359390495287986,1500,0.371,0.501,0.398,0.588,0.559,0.799
