k,accuracy,macro_f1,n_valid,f1_primary,f1_spam,f1_updates,f1_important,f1_promotions,f1_social
0,0.38892595063375585,0.3704077150398914,1499,0.301,0.134,0.349,0.439,0.423,0.576
2,0.4404283801874163,0.399910968191771,1494,0.201,0.208,0.399,0.509,0.467,0.616
4,0.4248496993987976,0.38248844515912056,1497,0.242,0.148,0.324,0.528,0.473,0.58
8,0.45424181696726784,0.43374730581584275,1497,0.363,0.206,0.392,0.507,0.477,0.659
10,0.44733333333333336,0.4228846757501519,1500,0.354,0.154,0.396,0.499,0.48,0.654
12,0.446,0.4300629660510347,1500,0.337,0.18,0.419,0.511,0.488,0.646
16,0.458,0.4280749260076522,1500,0.366,0.101,0.417,0.521,0.485,0.677
