k,mean_entropy,mean_variation_ratio,mean_confidence,majority_vote_acc
0,0.14353077923124583,0.06577777777777778,0.9342222222222222,0.38
2,0.1488053870135897,0.07077777777777777,0.9292222222222222,0.41333333333333333
4,0.1015367454912376,0.04888888888888889,0.9511111111111111,0.4288888888888889
8,0.12559596053693198,0.05788888888888889,0.9421111111111111,0.4444444444444444
10,0.12763564701924926,0.06,0.94,0.4388888888888889
12,0.12649647864879737,0.06033333333333333,0.9396666666666665,0.4388888888888889
16,0.1375893329846114,0.0648888888888889,0.935111111111111,0.43222222222222223
